id,project,roadid,carriage,location,starterp,enderp,side,position,class,fault,repair,priority,comment,length,width,faulttime,inspector,inspection,seq,photoid,geom,,
MDC_RD_0521_3876,MDC_RD_0521,126,2750,AORANGI ROAD,2080.8,2082.8,L,213(Opp)208,PVM,Scabbing,Chipseal,3,,2,1,4/05/2021 14:46,SF,2021_05,69,MDC_C10_210504_19545,,,
MDC_RD_0521_3959,MDC_RD_0521,126,2750,AORANGI ROAD,2103.7,2104.7,R,(Opp)213,PVM,Scabbing,Chipseal,3,,1,1,4/05/2021 15:24,SF,2021_05,70,MDC_C10_210504_23943,,,
MDC_RD_0521_3958,MDC_RD_0521,126,2750,AORANGI ROAD,2151.7,2152.7,R,(Opp)213,PVM,Scabbing,Chipseal,3,,1,1,4/05/2021 15:24,SF,2021_05,71,MDC_C10_210504_23935,,,
MDC_RD_0521_3957,MDC_RD_0521,126,2750,AORANGI ROAD,2237.7,2238.7,R,(Opp)213,PVM,Edgebreak Patch,Edgebreak Repair,3,,1,1,4/05/2021 15:23,SF,2021_05,72,MDC_C10_210504_23923,,,
MDC_RD_0521_3877,MDC_RD_0521,126,2750,AORANGI ROAD,2416.6,2418.6,L,259(Opp)224,PVM,Scabbing,Chipseal,3,,2,1,4/05/2021 14:46,SF,2021_05,73,MDC_C10_210504_19581,,,
MDC_RD_0521_708,MDC_RD_0521,1310,1322,AORANGI STREET,9,19,R,100,PVM,Flushing,Water Cutting,3,,10,1,1/05/2021 9:45,SF,2021_05,74,MDC_C10_210501_03964,,,
MDC_RD_0521_828,MDC_RD_0521,1310,1322,AORANGI STREET,17.9,27.9,L,(Opp)100,DRA,Broken (K&C),Replace (K&C),3,,10,1,1/05/2021 10:16,SF,2021_05,75,MDC_C10_210501_07245,,,
MDC_RD_0521_829,MDC_RD_0521,1310,1322,AORANGI STREET,49.8,52.8,L,(Opp)96,PVM,Flushing,Water Cutting,3,,3,1,1/05/2021 10:16,SF,2021_05,76,MDC_C10_210501_07251,,,
MDC_RD_0521_707,MDC_RD_0521,1310,1322,AORANGI STREET,45.7,65.7,R,94,DRA,Broken (K&C),Replace (K&C),3,,20,1,1/05/2021 9:42,SF,2021_05,77,MDC_C10_210501_03942,,,
MDC_RD_0521_706,MDC_RD_0521,1310,1322,AORANGI STREET,190.4,195.4,R,(Opp)81,DRA,Broken (K&C),Replace (K&C),3,,5,1,1/05/2021 9:42,SF,2021_05,78,MDC_C10_210501_03908,,,
MDC_RD_0521_705,MDC_RD_0521,1310,1322,AORANGI STREET,208.3,218.3,R,,PVM,Joint Cracking,Jointseal,3,,10,1,1/05/2021 9:42,SF,2021_05,79,MDC_C10_210501_03898,,,
MDC_RD_0521_704,MDC_RD_0521,1310,1322,AORANGI STREET,217.2,225.2,L,,PVM,Alligator Cracking (C/S Rd),Crackseal,2,,8,2,1/05/2021 9:42,SF,2021_05,80,MDC_C10_210501_03889,,,
MDC_RD_0521_748,MDC_RD_0521,333,1346,AOTEA STREET,62.8,70.8,R,3(Opp)6,DRA,Broken (K&C),Replace (K&C),1,,8,1,1/05/2021 9:54,SF,2021_05,81,MDC_C10_210501_04965,,,
MDC_RD_0521_746,MDC_RD_0521,333,1346,AOTEA STREET,79.8,85.8,L,8(Opp)3,DRA,Broken (K&C),Replace (K&C),3,,6,1,1/05/2021 9:54,SF,2021_05,82,MDC_C10_210501_04947,,,
MDC_RD_0521_747,MDC_RD_0521,333,1346,AOTEA STREET,11,82.8,R,5(Opp)8,PVM,Flushing,Water Cutting,3,,71.8,2,1/05/2021 9:54,SF,2021_05,83,MDC_C10_210501_04957,,,
MDC_RD_0521_13075,MDC_RD_0521,187,1084,APITI ROAD,223.4,234.4,L,120,PVM,Flushing,Water Cutting,3,,11,1,7/05/2021 9:12,RB,2021_05,84,MDC_C12_210507_00084,,,
MDC_RD_0521_13525,MDC_RD_0521,187,1084,APITI ROAD,236.2,247.2,R,(Opp)120,PVM,Flushing,Water Cutting,3,,11,1,7/05/2021 12:23,RB,2021_05,85,MDC_C12_210507_21597,,,
MDC_RD_0521_13076,MDC_RD_0521,187,1084,APITI ROAD,519.5,522.5,L,(Opp)120,PVM,Flushing,Water Cutting,3,,3,1,7/05/2021 9:12,RB,2021_05,86,MDC_C12_210507_00132,,,
MDC_RD_0521_13524,MDC_RD_0521,187,1084,APITI ROAD,521.4,522.4,R,120,PVM,Alligator Cracking (C/S Rd),Crackseal,2,,1,4,7/05/2021 12:23,RB,2021_05,87,MDC_C12_210507_21549,,,
MDC_RD_0521_13435,MDC_RD_0521,187,3133,APITI ROAD,5426.5,5427.5,R,,PVM,Depression,Level Mix,2,,1,6,7/05/2021 11:43,RB,2021_05,117,MDC_C12_210507_16900,,,
MDC_RD_0521_13077,MDC_RD_0521,187,1084,APITI ROAD,569.2,580.2,L,(Opp)120,PVM,Scabbing,Chipseal,3,,11,1,7/05/2021 9:12,RB,2021_05,88,MDC_C12_210507_00140,,,
MDC_RD_0521_13523,MDC_RD_0521,187,1084,APITI ROAD,853.4,855.4,R,120,PVM,Flushing,Water Cutting,3,,2,1,7/05/2021 12:22,RB,2021_05,89,MDC_C12_210507_21490,,,
MDC_RD_0521_13078,MDC_RD_0521,187,1084,APITI ROAD,1279.2,1285.2,L,(Opp)120,PVM,Scabbing,Chipseal,3,,6,1,7/05/2021 9:13,RB,2021_05,90,MDC_C12_210507_00253,,,
MDC_RD_0521_13079,MDC_RD_0521,187,2147,APITI ROAD,1459.5,1463.5,L,(Opp)120,PVM,Scabbing,Chipseal,3,,4,1,7/05/2021 9:14,RB,2021_05,91,MDC_C12_210507_00277,,,
MDC_RD_0521_13080,MDC_RD_0521,187,2147,APITI ROAD,1626.4,1631.4,L,(Opp)162,PVM,Flushing,Water Cutting,3,,5,1,7/05/2021 9:14,RB,2021_05,92,MDC_C12_210507_00297,,,
MDC_RD_0521_13448,MDC_RD_0521,187,2147,APITI ROAD,1783,1794,R,162,PVM,Flushing,Water Cutting,3,,11,2,7/05/2021 11:47,RB,2021_05,93,MDC_C12_210507_17417,,,
MDC_RD_0521_13081,MDC_RD_0521,187,2147,APITI ROAD,1823.1,1949.6,L,(Opp)162,SHL,High Shoulder,Grade/Roll,2,,126.5,1,7/05/2021 9:14,RB,2021_05,94,MDC_C12_210507_00321,,,
MDC_RD_0521_13447,MDC_RD_0521,187,2147,APITI ROAD,2009.3,2024.3,R,,PVM,Flushing,Water Cutting,3,,15,1,7/05/2021 11:47,RB,2021_05,95,MDC_C12_210507_17387,,,
MDC_RD_0521_13082,MDC_RD_0521,187,2147,APITI ROAD,2075.2,2137.1,L,,DRA,Blocked SWC,Clear,2,,61.9,1,7/05/2021 9:14,RB,2021_05,96,MDC_C12_210507_00353,,,
MDC_RD_0521_13446,MDC_RD_0521,187,2147,APITI ROAD,2211,2213,R,240,PVM,Flushing,Water Cutting,3,,2,1,7/05/2021 11:47,RB,2021_05,97,MDC_C12_210507_17363,,,
MDC_RD_0521_13445,MDC_RD_0521,187,2147,APITI ROAD,2372.6,2374.6,R,240,PVM,Edgebreak Patch,Edgebreak Repair,3,,2,1,7/05/2021 11:47,RB,2021_05,98,MDC_C12_210507_17343,,,
MDC_RD_0521_13083,MDC_RD_0521,187,2147,APITI ROAD,2560.5,2565.5,L,(Opp)240,PVM,Flushing,Water Cutting,3,,5,1,7/05/2021 9:15,RB,2021_05,99,MDC_C12_210507_00413,,,
MDC_RD_0521_13084,MDC_RD_0521,187,2147,APITI ROAD,2890,2896,L,,PVM,Flushing,Water Cutting,3,,6,1,7/05/2021 9:15,RB,2021_05,100,MDC_C12_210507_00453,,,
MDC_RD_0521_13085,MDC_RD_0521,187,2147,APITI ROAD,3292.1,3347,L,327,PVM,Flushing,Water Cutting,3,,54.9,1,7/05/2021 9:15,RB,2021_05,101,MDC_C12_210507_00503,,,
MDC_RD_0521_13100,MDC_RD_0521,187,2149,APITI ROAD,3476.1,3616.1,L,375,PVM,Flushing,Water Cutting,3,,140,4,7/05/2021 9:20,RB,2021_05,102,MDC_C12_210507_01062,,,
MDC_RD_0521_13444,MDC_RD_0521,187,3132,APITI ROAD,3830.9,3841.9,R,384(Opp)375,PVM,Shoulder Damage,Shoulder Repair,3,,11,1,7/05/2021 11:45,RB,2021_05,103,MDC_C12_210507_17147,,,
MDC_RD_0521_13443,MDC_RD_0521,187,3132,APITI ROAD,3993.5,3996.5,R,384(Opp)375,PVM,Shoulder Damage,Shoulder Repair,3,,3,1,7/05/2021 11:45,RB,2021_05,104,MDC_C12_210507_17125,,,
MDC_RD_0521_13442,MDC_RD_0521,187,3132,APITI ROAD,4064.9,4094.9,R,384(Opp)375,PVM,Shoulder Damage,Shoulder Repair,3,,30,1,7/05/2021 11:45,RB,2021_05,105,MDC_C12_210507_17111,,,
MDC_RD_0521_13441,MDC_RD_0521,187,3132,APITI ROAD,4125.7,4140.7,R,384,PVM,Flushing,Water Cutting,3,,15,1,7/05/2021 11:45,RB,2021_05,106,MDC_C12_210507_17106,,,
MDC_RD_0521_13101,MDC_RD_0521,187,3132,APITI ROAD,4445.3,4450.3,L,449(Opp)484,PVM,Shoulder Damage,Shoulder Repair,3,,5,1,7/05/2021 9:21,RB,2021_05,107,MDC_C12_210507_01184,,,
