id,project,Service,Group,Board,Area,RoadID,CarriageWa,Location,ERP,Side,Position,Class,Fault,Repair,Priority,Comment,Size,Length,Width,Total,Easting,Northing,Latitude,Longitude,FaultTime,Inspector,Inspection,Seq,FaultID,PhotoID
ASM_SH_0520_242,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,11274,01N-0398/11.53-I,11927,L,2,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,5x1,5,1,5,1752909.747,5935095.681,-36.717533,174.712163,21/02/2020 11:42,SF,2020_02,242,283,SH1C3_200221_10004
ASM_SH_0520_243,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,2707,01N-0398/11.53-I,12400,L,2,PVM,Ravelling,Mill and Fill,3,,60x3,60,3,180,1753066.357,5934650.635,-36.721518,174.714005,21/02/2020 11:42,SF,2020_02,243,284,SH1C3_200221_10042
ASM_SH_0520_244,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,2707,01N-0398/11.53-I,12532,L,3,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,4x2,4,2,8,1753094.243,5934521.512,-36.722677,174.714343,21/02/2020 11:42,SF,2020_02,244,285,SH1C3_200221_10054
ASM_SH_0520_245,TEST,SL1,STATE HIGHWAY,SH 1,10,2704,2703,01N-0398/11.53-I,15463,L,1,PVM,Deformation/Shoving (A/C Rd),Structural Asphalt SAC,3,,2x1,2,1,2,1753875.75,5931735.466,-36.747655,174.723652,21/02/2020 10:35,SF,2020_02,245,233,SH1C3_200221_04686
ASM_SH_0520_246,TEST,SL1,STATE HIGHWAY,SH 1,10,2705,2677,01N-0398/11.65-D,136,L,3,MSC,Abandoned TTM,Pickup Abandoned TTM,2,,1,1,,1,1753997.826,5931556.478,-36.749248,174.725055,21/05/2020 11:24,SF,2020_05,246,2307,SH1C3_200521_10072
ASM_SH_0520_247,TEST,SL1,STATE HIGHWAY,SH 1,10,2705,2698,01N-0398/11.65-D,12265,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,4x2,4,2,8,1753026.486,5934744.125,-36.720682,174.71354,21/05/2020 10:59,SF,2020_05,247,2303,SH1C3_200521_06982
ASM_SH_0520_248,TEST,SL1,STATE HIGHWAY,SH 1,10,2705,2694,01N-0398/11.65-D,15381,R,2,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,60,60,,60,1753825.911,5931764.996,-36.747397,174.723088,21/02/2020 9:52,SF,2020_02,248,195,SH1C3_200221_00152
ASM_SH_0520_249,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2692,01N-0398-D,123,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,6x1,6,1,6,1752862.724,5935089.086,-36.7176,174.711638,21/02/2020 12:02,SF,2020_02,249,297,SH1C3_200221_11360
ASM_SH_0520_250,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,1249,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,200x3,200,3,600,1748645.687,5944179.813,-36.636352,174.662673,21/02/2020 10:01,SF,2020_02,250,205,SH1C3_200221_01216
ASM_SH_0520_251,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,1385,R,1,PVM,Ravelling,Mill and Fill,2,,60x2,60,2,120,1748641.703,5944042.719,-36.637588,174.662655,21/02/2020 10:01,SF,2020_02,251,204,SH1C3_200221_01206
ASM_SH_0520_252,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,1863,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,80x3,80,3,240,1748628.259,5943566.099,-36.641885,174.662597,21/02/2020 10:00,SF,2020_02,252,203,SH1C3_200221_01172
ASM_SH_0520_253,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,1941,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,80x3,80,3,240,1748623.781,5943488.273,-36.642587,174.662562,21/02/2020 11:10,SF,2020_02,253,268,SH1C3_200221_07751
ASM_SH_0520_254,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,2358,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,140x3,140,3,420,1748611.031,5943072.344,-36.646337,174.6625,21/02/2020 11:10,SF,2020_02,254,267,SH1C3_200221_07711
ASM_SH_0520_255,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2673,01N-0398-D,2802,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,350x3,350,3,1050,1748638.076,5942630.755,-36.650312,174.662888,21/02/2020 10:00,SF,2020_02,255,202,SH1C3_200221_01104
ASM_SH_0520_256,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2672,01N-0398-D,3073,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,60x3,60,3,180,1748692.686,5942366.246,-36.652687,174.66355,21/02/2020 10:00,SF,2020_02,256,201,SH1C3_200221_01084
ASM_SH_0520_257,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2672,01N-0398-D,3398,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,150x3,150,3,450,1748796.437,5942058.603,-36.655443,174.66477,21/02/2020 10:00,SF,2020_02,257,200,SH1C3_200221_01060
ASM_SH_0520_258,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,3782,01N-0398-D,4952,R,1,BAR,Wire Barrier Damaged,Repair,3,,1,1,,1,1749770.727,5940873.081,-36.665973,174.675898,21/05/2020 9:45,SF,2020_05,258,2281,SH1C3_200521_01124
ASM_SH_0520_259,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,3782,01N-0398-D,6099,R,2,PVM,Corrugations,Mill and Fill,3,,40x3,40,3,120,1750446.38,5939968.788,-36.674015,174.683633,21/02/2020 11:07,SF,2020_02,259,266,SH1C3_200221_07406
ASM_SH_0520_260,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2671,01N-0398-D,6279,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,10x2,10,2,20,1750525.687,5939806.814,-36.675462,174.684552,21/02/2020 11:07,SF,2020_02,260,265,SH1C3_200221_07392
ASM_SH_0520_261,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2671,01N-0398-D,6375,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,300x2,300,2,600,1750581.523,5939728.594,-36.676158,174.685192,21/02/2020 9:58,SF,2020_02,261,197,SH1C3_200221_00843
ASM_SH_0520_262,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2671,01N-0398-D,6886,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,10x2,10,2,20,1750970.438,5939402.474,-36.679035,174.689607,21/02/2020 11:07,SF,2020_02,262,264,SH1C3_200221_07342
ASM_SH_0520_263,TEST,SL1,STATE HIGHWAY,SH 1,10,2614,2699,01N-0398-D,11688,R,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,40x3,40,3,120,1752799.637,5935273.659,-36.715947,174.710895,21/02/2020 11:03,SF,2020_02,263,263,SH1C3_200221_06974
ASM_SH_0520_264,TEST,SL1,STATE HIGHWAY,SH 1,10,2613,2664,01N-0398-I,837,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,60x3,60,3,180,1748667.583,5944591.921,-36.632635,174.662838,21/02/2020 10:26,SF,2020_02,264,225,SH1C3_200221_03576
ASM_SH_0520_265,TEST,SL1,STATE HIGHWAY,SH 1,10,2613,2664,01N-0398-I,1019,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,200x3,200,3,600,1748662.567,5944410.789,-36.634268,174.662817,21/02/2020 10:26,SF,2020_02,265,226,SH1C3_200221_03588
ASM_SH_0520_266,TEST,SL1,STATE HIGHWAY,SH 1,10,2613,2664,01N-0398-I,2386,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,30x2,30,2,60,1748624.9,5943047.023,-36.646563,174.66266,21/02/2020 10:27,SF,2020_02,266,227,SH1C3_200221_03679
ASM_SH_0520_267,TEST,SL1,STATE HIGHWAY,SH 1,10,2613,2664,01N-0398-I,2666,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,250x2,250,2,500,1748633.198,5942767.226,-36.649083,174.662807,21/02/2020 10:27,SF,2020_02,267,228,SH1C3_200221_03697
